ID,PredefinedType,Start Dist Along,Horizontal Length,Start Cant left,End Cant left,Start Cant right,End Cant right
1,CONSTANTCANT,0.0000,22.9021,0,0,0,0
2,CONSTANTCANT,22.9021,7.9355,0,0,0,0
3,CONSTANTCANT,30.8376,68.2969,0,0,0,0
4,LINEARTRANSITION,99.1345,40.0000,0,0,0,0.01
5,CONSTANTCANT,139.1345,285.2424,0,0,0.01,0.01
6,LINEARTRANSITION,424.3769,40.0000,0,0,0.01,0
7,CONSTANTCANT,464.3769,36.9088,0,0,0,0
8,LINEARTRANSITION,501.2857,39.6989,0,0.01,0,0
9,CONSTANTCANT,540.9846,107.4914,0.01,0.01,0,0
10,LINEARTRANSITION,648.4760,39.6989,0.01,0,0,0
11,CONSTANTCANT,688.1749,139.9216,0,0,0,0
12,CONSTANTCANT,828.0965,-828.0965,0,0,0,0